"Id";"Word";"Pronunciation";"Definition";"PartOfSpeech"
58;"accrete";"uh-kreet";"to grow, gradually build up or become attached by accretion; to cause to adhere or become attached";"v"
59;"acerbic";"uh-sir-bik";"sharply or bitingly critical, sarcastic, or ironic in temper, mood, or tone";"adj"
60;"acidulate";"uh-sid-yoo-late";"to make acid or slightly acid";"v"
61;"acolyte";"ak-uh-lite";"one who attends or assists a leader, follower";"n"
62;"acquiesce";"ak-we-es";"to accept, comply, or submit passively";"v"
63;"acre";"ay-ker";"43,560 sq. ft.; 4047 sq. m.";"n"
64;"acumen";"ak-yoo-men";"keenness and depth of perception, discernment, or discrimination especially in practical matters";"n"
65;"adhere";"ad-heer";"to hold fast or stick by or as if by gluing, suction, grasping, or fusing; to cause to stick fast";"v"
66;"ad hoc";"ad-hok";"concerned with a particular end or purpose; formed or used for specific or immediate problems or needs; fashioned from whatever is immediately available, improvised";"adj"
67;"addle";"add-ul";"to throw into confusion, confound";"v"
68;"adjudicate";"uh-judicate";"to make an official decision about who is right in a dispute; to settle judicially";"v"
69;"adjunct";"ah-junked";"something joined or added to another thing but not essentially a part of it; an associate or assistant of another";"n"
70;"adjuvant";"adge-uh-vint";"serving to aid or contribute, auxiliary; enhancing the effectiveness of medical treatment";"adj"
71;"admixture";"add-mixture";"the action of mixing; something added by mixing; a product of mixing, mixture";"n"
72;"admonish";"add-mon-ish";"to indicate duties or obligations to; to express warning or disapproval to especially in a gentle, earnest, or solicitous manner; to say (something) as advice or a warning";"v"
73;"admonition";"add-muh-nition";"gentle or friendly reproof; counsel or warning against fault or oversight";"n"
74;"adsorption";"add-zorp-shun";"sticking to the surface of; the adhesion in an extremely thin layer of molecules (as of gases, solutes, or liquids) to the surfaces of solid bodies or liquids with which they are in contact";"n"
75;"adulation";"ad-juh-lay-shun";"excessive or slavish admiration or flattery";"n"
76;"adumbrate";"ADD-um-brate";"to suggest, disclose, or outline partially; to foreshadow vaguely";"v"
77;"adust";"uh-dust";"scorched, burned";"adj"
78;"advent";"add-vent";"a coming into being or use";"n"
79;"adventitious";"add-ven-tish-us";"coming from another source and not inherent or innate; arising or occurring sporadically or in other than the usual location";"adj"
80;"advert";"ad-VURT";"to turn the mind or attention; to call attention in the course of speaking or writing";"v"
81;"aegis";"ee-jus";"protection; controlling or conditioning influence; auspices, sponsorship; control or guidance especially by an individual, group, or system";"n"
82;"affable";"aff-uh-bull";"being pleasant and at ease in talking to others; characterized by ease and friendliness";"adj"
83;"ageusia";"eh-gyoo-sia";"lack of sense of taste";"n"
84;"agita";"aj-ih-tuh";"a feeling of agitation or anxiety";"n"
85;"agog";"uh-gahg";"full of intense interest or excitement, eager";"adj"
86;"agon";"ah-gone";"conflict esp. the dramatic conflict between the chief characters in a literary work";"n"
87;"agonistic";"ah-gun-is-tik";"argumentative; striving for effect, strained; of, relating to, or being aggressive or defensive social interaction (such as fighting, fleeing, or submitting) between individuals usually of the same species";"adj"
88;"akimbo";"ah-kim-bo";"having the hands on the hip and the elbows turned outward; set in a bent position";"adj"
89;"alabaster";"ah-luh-bass-tur";"a compact fine-textured usually white and translucent gypsum often carved into vases and ornaments";"n"
90;"alarum";"alarm";"a call to arms";"n"
91;"albedo";"al-bee-doh";"reflective power; the fraction of incident radiation (such as light) that is reflected by a surface or body";"n"
92;"aleph";"ah-lef";"the first letter of the Hebrew alphabet";"n"
93;"alfresco";"al-fres-co";"taking place or located in the open air; outdoor";"adj"
94;"alimony";"ah-lih-moe-nee";"an allowance made to one spouse by the other for support pending or after legal separation or divorce; the means of living, maintenance";"n"
95;"allay";"ah-lay";"to subdue or reduce in intensity or severity, alleviate; to make quiet, calm";"v"
96;"almanac";"all-muh-nak";"a publication containing astronomical and meteorological data for a given year and often including a miscellany of other information; a usually annual publication containing statistical, tabular, and general information";"n"
97;"amanuensis";"uh-man-yoo-wen-sis";"one employed to write from dictation or to copy manuscript";"n"
98;"amity";"am-ih-tee";"friendship, friendly relations between nations";"n"
99;"amortize";"am-er-tize";"to pay off (an obligation, such as a mortgage) gradually usually by periodic payments of principal and interest";"v"
100;"anachronistic";"uh-NAH-kruh-nis-tik";"belonging to a period other than that being portrayed; chronologically out of place esp. past things out of place in the present";"adj"
101;"analgesia";"an-ul-jeez-sha";"insensiblity to pain without loss of consciousness";"n"
102;"analgesic";"an-ul-jeez-ik";"an agent producing diminished sensation to pain without loss of consciousness; a drug that is used to relieve pain";"n"
103;"analogue";"analog";"something that is similar or comparable to something else either in general or in some specific detail; something that is analogous to something else";"n"
104;"anathema";"uh-nah-thuh-muh";"one that is cursed by ecclesiastical authority; something intensely disliked or loathed; the denunciation of something as accursed";"n"
105;"anathematize";"uh-nah-thuh-muh-tize";"curse, denounce";"v"
106;"ancillary";"ants-ill-airy";"subordinate, subsidiary; auxiliary, supplementary";"adj"
107;"anemic";"uh-nee-mik";"lacking force, vitality, or spirit; lacking interest or a distinctive quality; lacking substance or quantity; relating to anemia (weakness due to blood deficiency)";"adj"
108;"anent";"uh-nent";"about, concerning";"prep"
109;"animosity";"ann-ih-moss-ih-tee";"a strong feeling of dislike or hatred; ill will or resentment tending toward active hostility; an antagonistic attitude";"n"
110;"animus";"ann-ih-mus";"a usually prejudiced and often spiteful or malevolent ill will";"n"
111;"anneal";"uh-neel";"to heat and then cool a substance; strengthen, toughen;";"v"
112;"annul";"uh-null";"to declare or make legally invalid or void; to reduce to nothing, obliterate; to make ineffective or inoperative, neutralize";"v"
113;"anodize";"ann-uh-dies";"to subject (a metal) to electrolytic action as the anode of a cell in order to coat with a protective or decorative film";""
114;"anon";"uh-non";"soon, presently; after a while, later";"adv"
115;"anosmia";"ann-oz-me-uh";"lack of sense of smell";"n"
116;"ante";"an-tee";"cost, price; risk, stakes; a level of achievement or intensity regarded especially as a goal or standard";"n"
117;"anthology";"an-thah-lih-gee";"a collection of selected literary pieces or passages or works of art or music; assortment";"n"
118;"anthropomorphic";"ann-throw-puh-mor-fik";"described or thought of as having a human form or human attributes; ascribing human characteristics to nonhuman things";"adj"
119;"anticlimax";"anti-kly-max";"he usually sudden transition in discourse from a significant idea to a trivial or ludicrous idea; an event, period, or outcome that is strikingly less important or dramatic than expected";"n"
120;"antiquity";"ann-tih-kwih-tee";"ancient times; the quality of being ancient;";"n"
121;"antithetical";"ann-tih-thet-ih-kull";"being in direct and unequivocal opposition; constituting or marked by antithesis";"adj"
122;"aplomb";"uh-plomm";"complete and confident composure or self-assurance, poise";"n"
123;"apocraphyl";"uh-pok-rih-ful";"of doubtly authenticity, spurious";"adj"
124;"apodictic";"ah-puh-dik-tik";"expressing or of the nature of necessary truth or absolute certainty";"adj"
125;"apoplectic";"app-uh-plectic";"of a kind to cause or apparently cause stroke; extremely enraged; of, relating to, or causing apoplexy or stroke";"adj"
126;"apoplexy";"app-uh-plexy";"a state of intense and almost uncontrollable anger; stroke; gross hemorrhage into a cavity or into the substance of an organ";"n"
127;"apostrophe";"uh-pos-truh-fee";"the addressing of a usually absent person or a usually personified thing rhetorically";"n"
128;"apotheosis";"uh-poth-ee-osis";"the perfect form or example of something; the highest or best part of something; elevation to divine status";"n"
129;"apprehension";"ah-pruh-hen-shun";"suspicion or fear esp. of future evil; seizure by legal process; the act/power of perceiving or comprehending something; the result of apprehending something mentally";"n"
130;"apprise";"uh-prize";"to give notice to, tell";"v"
131;"approbate";"ah-pruh-bate";"approve, sanction, commend, praise";"v"
132;"approbation";"ah-pruh-bay-shun";"commendation, praise; an act of approving formally or officially";"n"
133;"appurtenance";"";"accessory objects; a subordinate part or adjunct";""
134;"apropos";"ap-ruh-poh";"with regard to something; concerning";"prep"
135;"arbitrary";"ar-bih-trair-ee";"depending on individual discretion (as of a judge) and not fixed by law; existing or coming about seemingly at random or by chance or as a capricious and unreasonable act of will";"adj"
136;"archetype";"ar-kih-type";"the original pattern or model of which all things of the same type are representations or copies, prototype; a perfect example";"n"
137;"arcology";"ar-call-uh-gee";"a city intended to be contained in a single structure";"n"
138;"armature";"ar-muh-chur";"an organ or structure for offense or defense; a framework";"n"
139;"arraign";"uh-rayn";"to call a defendant before a court to answer to an indictment, charge; to accuse of wrong, inadequacy, or imperfection";"v"
140;"arrogate";"air-ruh-gate";"to claim or seize without justification; to make undue claims to having, assume; to claim on behalf of another, ascribe";"v"
141;"ascetic";"uh-said-ik";"practicing strict self-denial as a measure of personal and especially spiritual discipline";"adj"
142;"ascribe";"uh-scribe";"to refer to a supposed cause, source, or author; to say or think that (something) is caused by, comes from, or is associated with a particular person or thing";"v"
143;"askance";"uh-skants";"with disapproval or distrust, scornfully; with a side-glance, obliquely";"adv"
144;"aspect";"ah-spekt";"the position of planets or stars with respect to one another held by astrologers to influence human affairs; a position facing a particular direction, exposure";"n"
145;"asperity";"uh-spare-ih-tee";"roughness of manner or of temper; harshness of behavior or speech that expresses bitterness or anger; rigor, severity; roughness of surface or sound";"n"
146;"assay";"AH-say";"to analyze (something, such as an ore) for one or more specific components; to analyze";"v"
147;"assent";"uh-sent";"to agree to or approve of something esp. after thoughtful consideration";"v"
148;"asseverate";"uh-sev-er-ate";"to affirm or declare positively or earnestly";"v"
149;"assiduous";"uh-sih-jew-us";"showing great care, attention, and effort; marked by careful unremitting attention or persistent application";"adj"
150;"assoil";"uh-soil";"absolve, pardon; acquit, clear";"v"
151;"assuage";"uh-swayge";"to lessen the intensity of something that pains or distresses, ease; to make quiet, pacify; to put an end to by satisfying, appease, quench";"v"
152;"astringent";"uh-strin-gent";"rigidly severe, austere; very critical in a sharp and often clever way; causing body tissues to tighten";"adj"
153;"atavism";"ah-tih-viz-um";"recurrence of or reversion to a past style, manner, outlook, approach, or activity; recurrence in an organism of a trait or character typical of an ancestral form and usually due to genetic recombination";"n"
154;"atrium";"ay-tree-um";"an open area inside a tall building that has windows to let light in from above";"n"
155;"atrophied";"ah-tro-feed";"having wasted away or decreased in size; having progressively declined or weakened";"adj"
156;"aural";"oral";"of or relating to the ear or to the sense of hearing";"adj"
157;"auspice";"awe-spiss";"divine or prophetic token";"n"
158;"austere";"awe-steer";"stern and cold in appearance or manner; somber, grave; morally strict; markedly simple or unadorned; giving little or no scope for pleasure";"adj"
159;"auteur";"oh-tour";"an artist whose style and practice are distinctive";"n"
160;"auteur theory";"oh-tour-theory";"a view of filmmaking in which the director is considered the primary creative force in a motion picture";"n"
161;"auxiliary";"aux-zill-yuh-ree";"offering or providing help; supplementary; constituting a reserve";"adj"
162;"avarice";"ah-vuh-riss";"excessive or insatiable desire for wealth or gain, greediness, cupidity";"n"
163;"avionics";"A-vee-on-iks";"electronics designed for use in aerospace vehicles";"n"
164;"avuncular";"uh-VUNK-yoo-ler";"suggestive of an uncle especially in kindliness or geniality";"adj"
165;"awl";"all";"a pointed tool for making small holes (as in leather or wood)";"n"
166;"axiom";"aks-ee-um";"a statement accepted as true as the basis for argument or inference; an established rule or principle or a self-evident truth; a maxim widely accepted on its intrinsic merit";"n"
167;"baleful";"bale-ful";"deadly or pernicious in influence; foreboding or threatening evil";"adj"
168;"balk";"bahk";"to stop short and refuse to proceed; to refuse abruptly";"v"
169;"ballast";"bah-lest";"a heavy substance (such as rocks or water) placed in such a way as to improve stability and control; something that gives stability";"n"
170;"balmy";"bau-me";"having the qualities of balm, soothing; mild, temperate; crazy, foolish";"adj"
171;"banal";"buh-NAL";"so lacking in originality as to be obvious and boring";"adj"
172;"banshee";"BAN-she";"a female spirit in Gaelic folklore whose appearance or wailing warns a family that one of them will soon die";"n"
173;"barbiturate";"bar-bitch-er-it";"any of various derivatives of barbituric acid that are used especially as sedatives, hypnotics, and antispasmodics and are often addictive";"n"
174;"bardolater";"bar-dahl-it-er";"a person who idolizes Shakespeare";"n"
175;"barefaced";"bare-faced";"open, unconcealed; wearing no mask; not hiding anything; having or showing a lack of scruples";"adj"
176;"barometer";"buh-rom-ih-tur";"an instrument for determining the pressure of the atmosphere; something that indicates fluctuations (as in public opinion); standard, test";"n"
177;"baroque";"buh-roke";"characterized by grotesqueness, extravagance, complexity, or flamboyance";"adj"
178;"base";"base";"being of comparatively low value and having relatively inferior properties; lacking or indicating the lack of higher qualities of mind or spirit, ignoble; lacking higher values, degrading";"adj"
179;"bastion";"bas-chun";"a projecting part of a fortification; a fortified area or position; a place of security or survival; a place dominated by a particular group or marked by a particular characteristic";"n"
180;"bathos";"BAY-thuss";"the sudden appearance of the commonplace in otherwise elevated matter or style, anticlimax; exceptional commonplaceness; insincere or overdone pathos";"n"
181;"batten";"bah-ten";"to grow fat; to feed gluttonously; to grow prosperous especially at the expense of another";"v"
182;"batten";"bah-ten";"a thin narrow strip of lumber used especially to seal or reinforce a joint";"n"
183;"bawdy";"baw-dee";"obscene, lewd; boisterously or humorously indecent";"adj"
184;"beaucoup";"boh-koo";"great in quantity or amount, many, much";"adj"
185;"bedizen";"beh-dies-en";"to dress or adorn gaudily";"v"
186;"behest";"bih-hest";"an authoritative order, command; an urgent prompting";"n"
187;"belaud";"bih-lod";"to praise usually to excess";"v"
188;"belie";"bih-lie";"to give a false impression of; to present an appearance not in agreement with; to show (something) to be false or wrong; to run counter to, contradict; disguise";"v"
189;"belligerent";"buh-lij-er-int";"inclined to or exhibiting assertiveness, hostility, or combativeness; waging war";"adj"
190;"benediction";"ben-ih-dik-shun";"something that promotes goodness or well-being; an expression of good wishes; the invocation of a blessing";"n"
191;"benison";"ben-uh-sun";"blessing, benediction";"n"
192;"bequeath";"bih-queeth";"to give or leave by will (used especially of personal property); to hand down, transmit";"v"
193;"bequest";"bih-kwest";"the act of giving or leaving something by will; something given or left by will or transmitted from the past";"n"
194;"berate";"bih-rate";"to scold or condemn vehemently and at length";"v"
195;"bereft";"bih-reft";"deprived or robbed of the possession or use of something; lacking something needed, wanted, or expected; suffering the death of a loved one, bereaved";"adj"
196;"berth";"birth";"an amount of distance maintained for safety; the place where a ship lies when at anchor or at a wharf; a place to sit or sleep especially on a ship or vehicle";"n"
197;"beseech";"bih-seech";"to beg for urgently or anxiously; to request earnestly, implore";"v"
198;"beshrew";"bih-shroo";"curse";"v"
199;"besot";"bih-saht";"infatuate; to make dull or stupid esp. to muddle with drunkenness";"v"
200;"bespoke";"bih-spoke";"custom-made; dealing in or producing custom-made articles";"adj"
201;"betwixt";"bih-twixt";"between";"prep"
202;"bevel";"beh-vil";"the angle that one surface or line makes with another when they are not at right angles";"n"
203;"bezonian";"bih-zoh-nee-un";"a mean dishonest person";"n"
204;"bibelot";"bee-buh-loh";"a small household ornament or decorative object; trinket";"n"
205;"biddable";"bid-uh-bul";"easily led, taught, or controlled, docile; capable of being bid";"adj"
206;"bifurcate";"BIFE-erkate";"to divide or cause to divide into two branches or parts";"v"
207;"bilious";"bil-yus";"of or indicative of a peevish ill-natured disposition; sickeningly unpleasant";"adj"
208;"bindle stiff";"bin-dul-stiff";"hobo esp. one who carries his clothes or bedding in a bundle";"n"
209;"bird-dog";"bird-dog";"to watch closely; to seek out, follow, detect";"v"
210;"bitumen";"bih-tyoom-en";"asphalt; any of various mixtures of hydrocarbons (such as tar) often together with their nonmetallic derivatives that occur naturally or are obtained as residues after heat-refining natural substances (such as petroleum)";"n"
211;"blench";"blench";"to draw back or turn aside from lack of courage, flinch";"v"
212;"blind alley";"blind-alley";"a fruitless or mistaken course or direction";"n"
213;"bloviate";"blow-vee-ate";"to speak or write verbosely and windily";"v"
214;"bludge";"bludge";"to avoid work or responsibility";"v"
215;"bluster";"bluss-tur";"to talk or act with noisy swaggering threats; to blow in stormy noisy gusts; to utter with noisy self-assertiveness";"v"
216;"blustery";"blus-tur-ee";"characterized by strong winds; blowing in strong gusts";"adj"
217;"boisterous";"boy-stur-us";"noisily turbulent, rowdy; marked by or expressive of exuberance and high spirits; stormy, tumultuous";"adj"
218;"bombast";"bom-bast";"pretentious inflated speech or writing";"n"
219;"bombinate";"bom-buh-nate";"to make a sustained deep murmuring, humming, or buzzing sound; buzz, drone";"v"
220;"bona fide";"bone-uh-fied";"genuine; real";"adj"
221;"boniface";"bah-nih-fiss";"the proprietor(owner) of a hotel, nightclub, or restaurant";"n"
222;"bootstrap";"boot-strap";"designed to function independently of outside direction; capable of using one internal function or process to control another; carried out with minimum resources or advantages";"adj"
223;"boondoggle";"";"a braided cord worn by Boy Scouts as a neckerchief slide, hatband, or ornament; a wasteful or impractical project or activity often involving graft";""
224;"boorish";"bour-ish";"resembling or befitting a rude or insensitive person";"adj"
225;"borscht";"borshed";"a soup made primarily of beets and served hot or cold often with sour cream";"n"
226;"bosky";"bah-skee";"having abundant trees or shrubs";"adj"
227;"boustrophedon";"boos-truh-fee-don";"the writing of alternate lines in opposite directions (as from left to right and from right to left)";"n"
228;"bravado";"bruh-vah-doh";"a blustering swaggering conduct; a pretense of bravery; the quality or state of being foolhardy";"n"
229;"broach";"broach";"to make known for the first time; to open up a subject for discussion";"v"
230;"brogue";"brogue";"a dialect or regional pronunciation esp. an Irish accent";"n"
231;"bromide";"bro-mide";"a commonplace or tiresome person, bore; a commonplace or hackneyed statement or notion";"n"
232;"burke";"birk";"to suppress quietly or indirectly; bypass, avoid";"v"
233;"burlesque";"bur-lesk";"mockery usually by caricature; a literary or dramatic work that seeks to ridicule by exaggeration or comic imitation; theatrical entertainment consisting of short pieces, comic skits and sometimes striptease acts";"n"
234;"butte";"byoot";"an isolated hill or mountain with steep or precipitous sides usually having a smaller summit area than a mesa";"n"
235;"buttonhole";"button-hole";"to detain in conversation by or as if by holding on to the outer garments of";"v"
236;"byzantine";"buy-zant-een";"intricately involved, labyrinthine; of, relating to, or characterized by a devious and usually surreptitious manner of operation";"adj"
237;"cabal";"kuh-ball";"the contrived schemes of a group of persons secretly united in a plot; club, group";"n"
238;"cachet";"kashay";"a seal used especially as a mark of official approval; a characteristic feature or quality conferring prestige; a design or inscription on an envelope to commemorate a postal or philatelic event";"n"
239;"cachinnate";"kak-uh-nayt";"to laugh loudly or immoderately";"v"
240;"cadre";"kah-dray";"a core group of trained personnel able to assume control and to train others; a group of people having some unifying relationship; frame, framework";"n"
241;"cagey";"kay-gee";"hesitant about committing oneself; wary of being trapped or deceived; marked by cleverness";"adj"
242;"cajole";"kuh-johl";"to persuade with flattery or gentle urging especially in the face of reluctance, coax; to obtain from someone by gentle persuasion; to deceive with soothing words or false promises";"v"
243;"calaboose";"kah-luh-boose";"jail; especially a local jail";"n"
244;"callow";"kah-low";"lacking adult sophistication, immature";"adj"
245;"calumny";"kah-lum-nee";"a misrepresentation intended to harm another's reputation; the act of uttering false charges or misrepresentations maliciously calculated to harm another's reputation";"n"
246;"cameo";"cam-e-oh";"a small piece of sculpture on a stone or shell cut in relief in one layer with another contrasting layer serving as background; a small medallion with a profiled head in relief";"n"
247;"campestral";"cam-pes-trul";"of or relating to fields or open country, rural";"adj"
248;"campy";"camp-ee";"absurdly exaggerated, artificial, or affected in a usually humorous way";"adj"
249;"candid";"can-did";"marked by honest sincere expression";"adj"
250;"candor";"can-dur";"freedom from stain, brilliance; freedom from prejudice or malice; unreserved, honest, or sincere expression";"n"
251;"canicular";"kuh-nik-yuh-ler";"of or relating to the period between early July and early September when hot weather occurs in the northern hemisphere";"adj"
252;"canon";"cannon";"an accepted principle or rule; a regulation or dogma decreed by a church council";"n"
253;"canorous";"kuh-nor-us";"pleasant sounding, melodious";"adj"
254;"cant";"kant";"to set at an angle, tilt; to pitch to one side; slope";"v"
255;"canthus";"kan-thus";"either of the angles formed by the meeting of an eye's upper and lower eyelids";"n"
256;"caper";"kay-pur";"an illegal or questionable act or escapade; a capricious escapade, prank";"n"
257;"capillary";"kah-pil-air-ee";"resembling a hair especially in slender elongated form; involving, held by, or resulting from surface tension";"adj"
258;"capote";"kuh-pote";"a usually long and hooded cloak or overcoat";"n"
259;"caprice";"kuh-preese";"a sudden, impulsive, and seemingly unmotivated notion or action; a sudden usually unpredictable condition, change, or series of changes; a disposition to do things impulsively";"n"
260;"capricious";"kuh-prish-us";"governed or characterized by caprice; impulsive, unpredictable";"adj"
261;"caravansary";"care-uh-van-sir-ee";"an inn surrounding a court in eastern countries where caravans rest at night; hotel, inn";"n"
262;"carbide";"kar-bide";"a very hard material made of carbon and one or more heavy metals";"n"
263;"career";"kuh-rear";"to go at top speed especially in a headlong manner";"v"
264;"carp";"karp";"to find fault or complain querulously";"v"
265;"cashmere";"kazh-mere";"fine wool from the undercoat of the cashmere goat; a soft twilled fabric made originally from cashmere";"n"
266;"castigate";"kah-stih-gate";"to subject to severe punishment, reproof, or criticism";"v"
267;"catarrh";"kuh-tar";"inflammation of a mucous membrane especially when chronically affecting the human nose and air passages";"n"
268;"catch-22";"catch-twenty-two";"a problematic situation for which the only solution is denied by a circumstance inherent in the problem or by a rule";"n"
269;"catechize";"cat-eh-kies";"to instruct systematically especially by questions, answers, and explanations and corrections; to question systematically or searchingly";"v"
270;"catercorner";"kah-ter-corner";"in a diagonal or oblique position; situated diagonally opposite someone or something";"adj"
271;"caterwaul";"kat-er-wall";"to make a harsh cry; to protest or complain noisily";"v"
272;"cathexis";"kuh-thex-is";"investment of mental or emotional energy in a person, object, or idea";"n"
273;"cathode";"kah-thode";"the electron-emitting electrode of an electron tube; the negative electrode of a diode";"n"
274;"catty";"kah-tee";"slyly spiteful, malicious";"adj"
275;"causerie";"koze-ree";"an informal conversation; chat; a short informal essay";"n"
276;"cavort";"kuh-vort";"to leap or dance about in a lively manner; to engage in extravagant behavior";"v"
277;"censure";"sen-sure";"to find fault with and criticize as blameworthy";"v"
278;"cerebrate";"sair-uh-brate";"to use the mind, think";"v"
279;"cerezo";"sair-ay-so";"cherry tree";"n"
280;"cerulean";"suh-roo-lian";"resembling the blue of the sky";"adj"
281;"chagrin";"sha-grin";"disquietude or distress of mind caused by humiliation, disappointment, or failure";"n"
282;"chambray";"sham-bray";"a lightweight clothing fabric with colored warp and white filling yarns";"n"
283;"chamois";"sham-wa";"a soft pliant leather; a cotton fabric made in imitation of chamois leather";"n"
284;"chary";"chair-ee";"hesitant and vigilant about dangers and risks; slow to grant, accept, or expend";"adj"
285;"chaste";"chased";"innocent of unlawful sexual intercourse; celibate; pure in thought and act, modest; severely simple in design or execution; clean, spotless";"adj"
286;"chastise";"chass-ties";"to censure severely, castigate; to inflict punishment on";"v"
287;"chic";"sheek";"smart elegance and sophistication especially of dress or manner, style; a distinctive mode of dress or manner associated with a fashionable lifestyle, ideology, or pursuit; cleverly stylish, smart";"adj"
288;"chicanery";"shi-kanery";"deception by artful subterfuge or sophistry, trickery; a piece of sharp practice (as at law), trick";"n"
